Timestamp;Force Z;Comments;
1941;-0.71;;
1947;-0.89;;
1953;-0.19;;
1958;-0.71;;
1964;-0.71;;
1970;-0.48;;
1976;-1.18;;
1981;-1.20;;
1987;-0.97;;
1993;-0.39;;
1999;-1.08;;
2004;-0.56;;
2010;-1.05;;
2016;-2.79;;
2021;-1.39;;
2027;-1.05;;
2033;-0.70;;
2039;0.52;;
2044;0.12;;
2050;-0.46;;
2056;-0.29;;
2062;-0.46;;
2067;0.00;;
2073;-0.06;;
2079;-0.46;;
2084;-0.81;;
2090;-0.11;;
2096;-0.16;;
2102;-0.97;;
2107;-0.33;;
2113;-0.39;;
2119;-0.56;;
2125;-0.25;;
2130;-0.31;;
2136;-0.31;;
2142;-0.08;;
2147;-0.25;;
2153;-0.04;;
2159;-0.39;;
2165;-0.45;;
2170;-0.50;;
2176;-0.39;;
2182;-0.71;;
2188;-0.54;;
2193;0.04;;
2199;-0.43;;
2205;-0.43;;
2210;0.25;;
2216;-0.74;;
2222;-0.62;;
2228;-0.45;;
2233;0.13;;
2239;0.46;;
2245;0.34;;
2251;0.81;;
2256;0.58;;
2262;-0.06;;
2268;-0.75;;
2273;-0.29;;
2279;-0.17;;
2285;0.75;;
2291;-0.11;;
2296;0.25;;
2302;-0.04;;
2308;-1.14;;
2314;-0.85;;
2319;-0.27;;
2325;0.33;;
2331;0.62;;
2336;-0.31;;
2342;0.62;;
2348;0.91;;
2354;1.14;;
2359;-0.02;;
2365;0.50;;
2371;-1.99;;
2376;0.68;;
2382;-0.50;;
2388;-0.68;;
2394;-0.50;;
2399;-0.74;;
2405;-0.16;;
2411;-0.37;;
2417;0.44;;
2422;0.15;;
2428;0.56;;
2434;-0.60;;
2439;-0.10;;
2445;0.25;;
2451;-0.21;;
2457;-0.21;;
2462;0.08;;
2468;0.48;;
2474;0.77;;
2480;0.71;;
2485;-0.62;;
2491;0.25;;
2497;-0.08;;
2502;0.68;;
2508;-0.31;;
2514;-0.08;;
2520;-0.43;;
2525;-0.14;;
2531;-0.25;;
2537;-0.25;;
2543;-0.08;;
2548;-0.02;;
2554;-0.04;;
2560;-0.27;;
2565;-0.91;;
2571;-0.62;;
2577;0.94;;
2583;0.04;;
2588;0.27;;
2594;-0.02;;
2600;-0.54;;
2606;0.15;;
2611;0.02;;
2617;0.19;;
2623;0.19;;
2628;0.77;;
2634;-0.91;;
2640;-0.16;;
2646;0.42;;
2651;-0.27;;
2657;-0.10;;
2663;0.08;;
2669;-0.54;;
2674;0.15;;
2680;0.39;;
2686;-0.25;;
2691;-0.48;;
2697;-0.39;;
2703;-0.10;;
2709;-0.04;;
2714;-0.16;;
2720;-0.33;;
2726;-0.79;;
2732;-0.16;;
2737;-0.62;;
2743;-0.79;;
2749;-0.97;;
2754;-0.68;;
2760;-0.91;;
2766;-0.21;;
2772;0.13;;
2777;-0.27;;
2783;-0.58;;
2789;-0.18;;
2795;-0.24;;
2800;0.11;;
2806;-0.29;;
2812;-0.70;;
2817;-0.81;;
2823;-0.70;;
2829;0.00;;
2835;-1.05;;
2840;-0.52;;
2846;-0.69;;
2852;-1.27;;
2858;-0.52;;
2863;-0.35;;
2869;-0.06;;
2875;-0.64;;
2880;-0.87;;
2886;-0.58;;
2892;0.11;;
2898;0.46;;
2903;-0.58;;
2909;-0.29;;
2915;-1.16;;
2921;-1.05;;
2926;-0.79;;
2932;-0.50;;
2938;-0.39;;
2943;-0.45;;
2949;-0.56;;
2955;-0.16;;
2961;-0.62;;
2966;-0.33;;
2972;-0.56;;
2978;-2.36;;
2983;-0.60;;
2989;-1.06;;
2995;-0.66;;
3001;-0.14;;
3006;-0.48;;
3012;-0.58;;
3018;-0.58;;
3024;-0.24;;
3029;-0.41;;
3035;-0.35;;
3041;-2.71;;
3046;-0.91;;
3052;-0.39;;
3058;0.25;;
3064;-0.21;;
3069;-0.60;;
3075;-0.31;;
3081;-0.89;;
3087;-0.43;;
3092;-0.83;;
3098;-0.56;;
3104;-1.08;;
3109;-0.56;;
3115;-0.85;;
3121;-0.33;;
3127;-0.68;;
3132;-0.68;;
3138;-1.32;;
3144;-0.56;;
3150;-0.62;;
3155;-0.39;;
3161;-0.50;;
3167;-0.50;;
3172;-0.74;;
3178;-1.03;;
3184;-0.71;;
3190;-1.00;;
3195;-0.89;;
3201;-0.83;;
3207;-0.83;;
3213;-0.66;;
3218;-0.95;;
3224;-1.53;;
3230;-1.87;;
3235;-1.24;;
3241;-1.64;;
3247;-0.77;;
3253;-0.08;;
3258;-1.24;;
3264;-1.00;;
3270;-0.25;;
3276;-0.66;;
3281;-0.25;;
3287;-0.89;;
3293;-1.06;;
3298;-1.43;;
3304;0.08;;
3310;-0.45;;
3316;-1.03;;
3321;-0.91;;
3327;-0.77;;
3333;-0.83;;
3339;-0.43;;
3344;-0.71;;
3350;-0.83;;
3356;-0.27;;
3361;-0.62;;
3367;-0.21;;
3373;-0.27;;
3379;-0.85;;
3384;0.04;;
3390;-0.60;;
3396;-0.08;;
3402;0.10;;
3407;0.33;;
3413;-0.14;;
3419;-0.83;;
3424;-0.37;;
3430;-0.54;;
3436;-0.60;;
3442;0.04;;
3447;-0.19;;
3453;-0.19;;
3459;-1.00;;
3465;-0.31;;
3470;-0.71;;
3476;-0.43;;
3482;-1.47;;
3487;-0.31;;
3493;-0.89;;
3499;-0.24;;
3505;0.34;;
3510;0.52;;
3516;-0.35;;
3522;0.00;;
3527;0.50;;
3533;0.44;;
3539;0.73;;
3545;0.15;;
3550;0.15;;
3556;-0.21;;
3562;0.42;;
3568;0.13;;
3573;0.08;;
3579;-0.39;;
3585;-1.32;;
3590;-0.39;;
3596;-0.21;;
3602;0.36;;
3608;0.31;;
3613;0.19;;
3619;0.25;;
3625;-0.27;;
3631;-1.20;;
3636;-0.68;;
3642;0.00;;
3648;-2.32;;
3653;-0.64;;
3659;-0.46;;
3665;0.29;;
3671;0.17;;
3676;0.52;;
3682;0.98;;
3688;0.34;;
3694;-0.64;;
3699;0.06;;
3705;-0.81;;
3711;-2.03;;
3716;-0.87;;
3722;-1.27;;
3728;-0.71;;
3734;-0.95;;
3739;-0.54;;
3745;-0.71;;
3751;-1.58;;
3757;-1.39;;
3762;-1.05;;
3768;-1.63;;
3774;-2.44;;
3779;-0.58;;
3785;-0.17;;
3791;-0.06;;
3797;0.46;;
3802;-0.98;;
3808;-0.17;;
3814;-0.08;;
3820;-0.02;;
3825;-0.37;;
3831;-0.43;;
3837;-2.05;;
3842;-0.16;;
3848;0.08;;
3854;-0.16;;
3860;-1.26;;
3865;-1.20;;
3871;-1.03;;
3877;-0.50;;
3883;-0.74;;
3888;-0.62;;
3894;-1.49;;
3900;-0.06;;
3905;-0.06;;
3911;-0.23;;
3917;-0.75;;
3923;-1.04;;
3928;-1.14;;
3934;-0.62;;
3940;-0.85;;
3946;0.02;;
3951;0.02;;
3957;-0.54;;
3963;-0.02;;
3968;-1.00;;
3974;-1.18;;
3980;-0.71;;
3986;-0.40;;
3991;-0.69;;
3997;-0.81;;
4003;-0.23;;
4009;-0.81;;
4014;-0.95;;
4020;-1.47;;
4026;-0.19;;
4031;0.15;;
4037;0.56;;
4043;1.06;;
4049;0.77;;
4054;0.31;;
4060;0.19;;
4066;-0.45;;
4072;-0.27;;
4077;0.13;;
4083;0.02;;
4089;-0.79;;
4094;-0.21;;
4100;0.08;;
4106;-0.97;;
4112;-0.39;;
4117;-0.79;;
4123;-0.39;;
4129;-1.03;;
4135;-0.68;;
4140;-0.74;;
4146;0.25;;
4152;0.13;;
4157;-0.39;;
4163;-0.50;;
4169;-0.39;;
4175;0.08;;
4180;0.19;;
4186;-0.27;;
4192;0.08;;
4198;-0.50;;
4203;0.25;;
4209;0.25;;
4215;-0.39;;
4220;0.08;;
4226;0.31;;
4232;0.19;;
4238;-0.21;;
4243;-0.54;;
4249;-1.12;;
4255;0.50;;
4261;0.15;;
4266;-0.31;;
4272;0.42;;
4278;0.65;;
4283;-0.04;;
4289;-0.33;;
4295;0.08;;
4301;0.68;;
4306;0.50;;
4312;0.27;;
4318;0.50;;
4324;0.56;;
4329;-0.14;;
4335;-0.71;;
4341;0.44;;
4346;0.50;;
4352;0.33;;
4358;0.58;;
4364;0.46;;
4369;0.41;;
4375;0.35;;
4381;0.64;;
4387;0.13;;
4392;-0.33;;
4398;-0.21;;
4404;0.25;;
4409;0.54;;
4415;-0.08;;
4421;-0.48;;
4427;-0.31;;
4432;-0.48;;
4438;-0.83;;
4444;-0.79;;
4450;-0.16;;
4455;-0.45;;
4461;0.02;;
4467;0.02;;
4472;-0.79;;
4478;-0.39;;
4484;-1.03;;
4490;-0.91;;
4495;0.19;;
4501;-0.45;;
4507;-2.19;;
4512;-0.62;;
4518;0.25;;
4524;-0.62;;
4530;-0.66;;
4535;-0.54;;
4541;-0.37;;
4547;-0.83;;
4553;0.10;;
4558;-0.39;;
4564;-0.33;;
4570;-1.95;;
4575;-0.62;;
4581;-0.85;;
4587;-0.97;;
4593;-1.03;;
4598;-1.66;;
4604;-1.03;;
4610;-0.21;;
4616;-0.71;;
4621;0.27;;
4627;-0.83;;
4633;-2.05;;
4638;-0.08;;
4644;-1.14;;
4650;-0.21;;
4656;0.25;;
4661;0.19;;
4667;-1.14;;
4673;-0.62;;
4679;-0.56;;
4684;-1.49;;
4690;-1.20;;
4696;-1.78;;
4701;-0.25;;
4707;-0.19;;
4713;0.04;;
4719;-0.48;;
4724;-0.54;;
4730;-0.18;;
4736;-0.76;;
4742;-0.29;;
4747;-0.53;;
4753;-0.93;;
4759;-1.06;;
4764;-1.24;;
4770;-1.47;;
4776;-1.24;;
4782;-0.60;;
4787;-1.18;;
4793;-1.47;;
4799;-0.43;;
4805;-0.54;;
4810;-1.29;;
4816;-0.39;;
4822;0.19;;
4827;-0.33;;
4833;-0.39;;
4839;0.19;;
4845;-0.16;;
4850;-0.56;;
4856;-1.20;;
4862;-1.37;;
4868;-1.32;;
4873;-1.08;;
4879;-0.85;;
4885;-0.10;;
4890;-0.21;;
4896;-1.03;;
4902;-1.32;;
4908;-1.37;;
4913;-0.04;;
4919;-0.68;;
4925;-0.74;;
4931;-0.68;;
4936;-0.56;;
4942;-0.33;;
4948;0.48;;
4953;-1.03;;
4959;-0.25;;
4965;-0.66;;
4971;-0.48;;
4976;0.79;;
4982;0.39;;
4988;0.25;;
4994;-0.62;;
4999;-0.39;;
5005;-1.03;;
5011;-0.50;;
5016;0.21;;
5022;-0.19;;
5028;-0.60;;
5034;-0.60;;
5039;-0.71;;
5045;-1.20;;
5051;-1.03;;
5057;-0.97;;
5062;-1.72;;
5068;-0.79;;
5074;-0.95;;
5079;-0.25;;
5085;-0.43;;
5091;0.10;;
5097;0.33;;
5102;0.29;;
5108;-0.58;;
5114;-0.18;;
5120;-0.70;;
5125;-0.99;;
5131;-0.39;;
5137;0.54;;
5142;-1.37;;
5148;-1.61;;
5154;-0.85;;
5160;-0.79;;
5165;-0.10;;
5171;-1.08;;
5177;-0.79;;
5183;0.19;;
5188;-0.37;;
5194;-1.00;;
5200;-0.83;;
5205;-1.24;;
5211;-1.12;;
5217;-1.58;;
5223;-0.60;;
5228;-0.66;;
5234;-0.43;;
5240;-0.14;;
5245;-1.12;;
5251;-0.54;;
5257;-0.31;;
5263;-1.24;;
5268;-0.89;;
5274;-0.79;;
5280;-0.50;;
5286;-0.68;;
5291;-0.56;;
5297;-0.50;;
5303;-2.42;;
5308;-0.10;;
5314;-0.27;;
5320;-0.45;;
5326;-0.39;;
5331;-0.25;;
5337;0.68;;
5343;0.33;;
5349;-0.43;;
5354;-0.54;;
5360;-0.81;;
5366;-2.61;;
5371;0.58;;
5377;-0.11;;
5383;-0.23;;
5389;0.13;;
5394;-0.45;;
5400;-0.50;;
5406;-0.16;;
5412;-1.03;;
5417;-0.39;;
5423;-0.68;;
5429;0.25;;
5434;-0.33;;
5440;-0.21;;
5446;-1.20;;
5452;-0.74;;
5457;-0.91;;
5463;-0.45;;
5469;0.02;;
5475;0.08;;
5480;0.02;;
